,count,mean,std,min,25%,50%,75%,max,missing,missing_pct
Trust (Q15),19587.0,2.778271302394445,1.1385225732796012,1.0,2.0,3.0,4.0,5.0,3249,14.227535470310038
Recommendation (Q16),19594.0,3.894712667143003,0.7343457131442327,1.0,3.0,4.0,4.0,5.0,3242,14.19688211595726
Capabilities,18032.0,2.9810134936479766,0.8619938031509354,1.0,2.4,3.0,3.6,5.0,4804,21.036959187248204
Ethical Concerns,16313.0,3.3388917593233165,0.7423253848015879,1.0,3.0,3.3333333333333335,3.888888888888889,5.0,6523,28.564547206165702
Attitudes,18033.0,3.3525203793046083,0.8456649205859704,1.0,3.0,3.25,4.0,5.0,4803,21.03258013662638
